Fecha;NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);PM2.5(µg/m³)
2024-11-22;6;21;32;30;9
2024-11-28;15;31;56;54;26
2024-12-01;7;23;62;34;36
2024-12-09;7;18;20;28;5
2024-12-12;16;30;29;54;12
2024-12-14;7;29;31;39;13
2024-12-17;26;39;52;79;21
2024-12-25;3;20;23;25;10
2025-01-02;14;31;32;52;13
2025-01-07;7;21;19;32;5
2025-01-08;7;21;21;32;6
2025-01-10;6;19;24;29;7
2025-01-13;6;24;34;34;12
2025-01-14;14;33;38;55;14
2025-01-15;31;44;58;92;22
2025-01-16;11;23;32;39;13
2025-01-21;46;46;53;116;26
2025-01-22;31;38;70;86;26
2025-01-25;3;15;20;20;9
2025-01-27;5;13;28;20;5
2025-02-05;16;40;39;65;18
2025-02-06;13;38;43;59;23
2025-02-07;14;33;45;54;23
2025-02-13;13;28;30;48;10
2025-02-14;17;34;39;60;16
2025-02-16;4;19;34;26;23
2025-02-17;11;20;48;36;32
2025-02-21;3;23;41;28;23
2025-02-22;4;21;40;28;25
2025-02-23;3;18;55;22;37
2025-02-25;7;23;28;34;9
2025-02-27;16;33;39;57;14
2018-10-20;20;49;30;80;22
2018-10-21;15;59;44;82;30
2018-10-22;55;68;52;153;31
2018-10-29;19;30;15;59;5
2018-11-05;48;43;29;116;15
2018-11-08;33;40;29;91;16
2018-11-09;26;37;18;77;7
2018-11-16;29;40;28;85;22
2018-11-17;18;36;32;64;24
2018-11-23;44;41;28;108;19
2018-11-27;32;38;24;87;9
2018-11-28;;;37;;17
2018-11-29;;;45;;23
2018-11-30;;;29;;14
2018-12-08;;;33;;23
2018-12-09;;;26;;15
2018-12-18;50;55;29;131;17
2018-12-20;43;48;26;113;12
2018-12-25;;;27;;21
2018-12-27;;;52;;35
2018-12-29;23;39;42;74;31
2019-01-04;45;42;44;111;29
2019-01-08;;;46;;31
2019-01-12;37;58;40;115;24
2019-01-13;29;46;30;89;19
2019-01-15;67;59;41;161;23
2019-01-19;23;43;31;78;20
2019-01-20;23;40;26;75;18
2019-01-21;40;48;23;109;9
2019-01-22;19;37;22;66;11
2019-01-24;13;24;17;43;4
2019-01-27;4;19;18;26;8
2019-01-30;24;36;18;73;7
2019-01-31;14;23;18;44;4
2019-02-03;9;14;19;27;5
2019-02-07;53;54;50;136;32
2019-02-13;33;51;37;101;20
2019-02-28;41;64;56;127;28
2019-03-02;13;40;53;60;34
2019-03-12;26;46;38;86;21
2019-03-13;20;41;35;71;19
2019-03-15;34;50;55;101;29
2019-03-21;15;36;30;59;16
